"filename", "language", "XML", "JSON", "C#", "comment", "blank", "total"
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/Properties/launchSettings.json", "JSON", 0, 20, 0, 6, 0, 26
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/blocktypes/chargingtable.json", "JSON", 0, 96, 0, 0, 0, 96
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/blocktypes/enchanting-table.json", "JSON", 0, 63, 0, 0, 0, 63
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/config/configlib-patches.json", "JSON", 0, 81, 0, 0, 0, 81
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/config/handbook/enchanting.json", "JSON", 0, 5, 0, 0, 0, 5
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/config/lore/enchantment.json", "JSON", 0, 34, 0, 0, 0, 34
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/itemtypes/lore.json", "JSON", 0, 251, 0, 0, 0, 251
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/lang/de.json", "JSON", 0, 181, 0, 0, 11, 192
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/lang/en.json", "JSON", 0, 181, 0, 0, 11, 192
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/lang/es-419.json", "JSON", 0, 181, 0, 0, 11, 192
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/lang/es-es.json", "JSON", 0, 181, 0, 0, 11, 192
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/lang/fr.json", "JSON", 0, 176, 0, 0, 11, 187
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/lang/it.json", "JSON", 0, 181, 0, 0, 11, 192
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/lang/ja.json", "JSON", 0, 181, 0, 0, 11, 192
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/lang/pl.json", "JSON", 0, 178, 0, 0, 11, 189
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/lang/ru.json", "JSON", 0, 176, 0, 0, 11, 187
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/lang/uk.json", "JSON", 0, 176, 0, 0, 11, 187
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/patches/animations-quickdraw.json", "JSON", 0, 303, 0, 0, 0, 303
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/patches/client-entities.json", "JSON", 0, 378, 0, 0, 0, 378
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/patches/player.json", "JSON", 0, 18, 0, 0, 0, 18
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/patches/remaps.json", "JSON", 0, 10, 0, 0, 0, 10
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/patches/server-entities.json", "JSON", 0, 378, 0, 0, 0, 378
